"threshold_sd","threshold_days","moving_average_days","bic"
4,7,30,Inf
2,8,30,-170.35749462393
2.1,8,30,-225.662902750184
2.2,8,30,-332.929288983457
2.3,8,30,-332.510485353248
2.4,8,30,-376.363716768366
2.5,8,30,-376.363716768366
2.6,8,30,-490.170527462869
2.7,8,30,-490.170527462869
2.8,8,30,-540.996583482121
2.9,8,30,-541.145351827259
3,8,30,-550.279712926634
3.1,8,30,-634.137757570412
3.2,8,30,-635.25630477712
3.3,8,30,-624.750626228377
3.4,8,30,-737.57560880393
3.5,8,30,-1155.71361986659
3.6,8,30,-1155.71361986659
3.7,8,30,Inf
3.8,8,30,Inf
3.9,8,30,Inf
4,8,30,Inf
2,9,30,-175.204275382159
2.1,9,30,-227.179006891074
2.2,9,30,-329.573040993931
2.3,9,30,-329.270598146605
2.4,9,30,-375.680906988251
2.5,9,30,-375.680906988251
2.6,9,30,-482.993669881621
2.7,9,30,-482.993669881621
2.8,9,30,-550.214874763428
2.9,9,30,-550.214874763428
3,9,30,-537.913305506449
3.1,9,30,-630.687061160563
3.2,9,30,-631.668155969857
3.3,9,30,-620.126655115449
3.4,9,30,-734.027991549787
3.5,9,30,-1151.62589480763
3.6,9,30,-1151.62589480763
3.7,9,30,Inf
3.8,9,30,Inf
3.9,9,30,Inf
4,9,30,Inf
2,10,30,-169.444554997579
2.1,10,30,-225.325359636134
2.2,10,30,-330.688267326075
2.3,10,30,-330.688267326075
2.4,10,30,-373.271279656148
2.5,10,30,-364.789193959408
2.6,10,30,-478.899731010025
2.7,10,30,-475.122982452982
2.8,10,30,-546.975913762219
2.9,10,30,-546.975913762219
3,10,30,-546.975913762219
3.1,10,30,-627.397379083041
3.2,10,30,-628.267477918822
3.3,10,30,-616.019402312652
3.4,10,30,-730.606559628955
3.5,10,30,-1147.54084349191
3.6,10,30,-1147.54084349191
3.7,10,30,Inf
3.8,10,30,Inf
3.9,10,30,Inf
4,10,30,Inf
2,11,30,-167.904866777956
2.1,11,30,-223.295985881152
2.2,11,30,-328.372384999857
2.3,11,30,-328.372384999857
2.4,11,30,-370.887303885052
2.5,11,30,-370.887303885052
2.6,11,30,-479.514473612152
2.7,11,30,-479.514473612152
2.8,11,30,-535.409643171306
2.9,11,30,-535.409643171306
3,11,30,-543.855633890811
3.1,11,30,-624.225754993392
3.2,11,30,-625.003825395786
3.3,11,30,-625.003825395786
3.4,11,30,-727.277909030096
3.5,11,30,-1143.45847308736
3.6,11,30,-1143.45847308736
3.7,11,30,Inf
3.8,11,30,Inf
3.9,11,30,Inf
4,11,30,Inf
2,12,30,-157.577120079782
2.1,12,30,-211.672716412421
2.2,12,30,-319.257369689427
2.3,12,30,-323.282655106176
2.4,12,30,-368.527095168719
2.5,12,30,-368.450743876281
2.6,12,30,-476.380195969107
2.7,12,30,-476.380195969107
2.8,12,30,-540.830616264643
2.9,12,30,-540.830616264643
3,12,30,-532.475735910317
3.1,12,30,-625.311253519477
3.2,12,30,-621.843718909128
3.3,12,30,-621.843718909128
3.4,12,30,-707.264398619862
3.5,12,30,-1139.37879080043
3.6,12,30,-1139.37879080043
3.7,12,30,Inf
3.8,12,30,Inf
3.9,12,30,Inf
4,12,30,Inf
2,13,30,-164.878556985849
2.1,13,30,-218.348790702517
2.2,13,30,-320.824648674526
2.3,13,30,-320.862204367886
2.4,13,30,-366.188971293566
2.5,13,30,-362.208737942261
2.6,13,30,-473.360810226425
2.7,13,30,-473.360810226425
2.8,13,30,-530.12259968906
2.9,13,30,-530.12259968906
3,13,30,-529.608372356181
3.1,13,30,-622.620615830956
3.2,13,30,-614.396659378383
3.3,13,30,-622.620615830956
3.4,13,30,-712.772110651628
3.5,13,30,-1135.30180387643
3.6,13,30,-1135.30180387643
3.7,13,30,Inf
3.8,13,30,Inf
3.9,13,30,Inf
4,13,30,Inf
2,14,30,-161.494134732903
2.1,14,30,-219.212471986161
2.2,14,30,-318.268602353441
2.3,14,30,-318.039636696072
2.4,14,30,-363.954092046868
2.5,14,30,-363.954092046868
2.6,14,30,-470.436304476068
2.7,14,30,-470.436304476068
2.8,14,30,-527.639832789005
2.9,14,30,-527.639832789005
3,14,30,-526.712527557587
3.1,14,30,-619.93268108791
3.2,14,30,-612.025860116791
3.3,14,30,-619.93268108791
3.4,14,30,-710.049937796568
3.5,14,30,-1131.22751959984
3.6,14,30,-1131.22751959984
3.7,14,30,Inf
3.8,14,30,Inf
3.9,14,30,Inf
4,14,30,Inf
2,7,35,-201.719360433468
2.1,7,35,-230.913192099093
2.2,7,35,-291.165856922429
2.3,7,35,-334.841034593256
2.4,7,35,-380.485408013556
2.5,7,35,-381.71371388715
2.6,7,35,-381.71371388715
2.7,7,35,-433.112835264563
2.8,7,35,-551.121920042467
2.9,7,35,-551.507040739626
3,7,35,-554.600141642597
3.1,7,35,-555.637183831777
3.2,7,35,-644.655443850024
3.3,7,35,-633.973396554959
3.4,7,35,-742.700170807476
3.5,7,35,-744.239552487898
3.6,7,35,-905.143972922226
3.7,7,35,-1159.80401153909
3.8,7,35,-1159.80401153909
3.9,7,35,Inf
4,7,35,Inf
2,8,35,-201.190984431179
2.1,8,35,-226.035249177296
2.2,8,35,-296.772730149253
2.3,8,35,-331.994030129612
